,Bagalkot,BangaloreRural,Bangalore,Belgaum,Bellary,Bidar,Bijapur,Chamrajnagar,Chikballapura,Chikmagalur,Chitradurga,DakshinaKannada,Davanagere,Dharwad,Gadag,Gulbarga,Hassan,Haveri,Kodagu,Kolar,Koppal,Mandya,Mysore,Raichur,Ramanagara,Shimoga,Tumkur,Udupi,UttaraKannada,Yadgir
Bagalkot,0.0,0.0,0.0,7359.0,0.0,0.0,4313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.0,0.0,0.0,0.0,0.0,0.0,5073.0,0.0,0.0,4703.0,0.0,0.0,0.0,0.0,0.0,0.0
BangaloreRural,0.0,0.0,7162.0,0.0,0.0,0.0,0.0,0.0,4416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5535.0,0.0,0.0,0.0,0.0,4570.0,0.0,3736.0,0.0,0.0,0.0
Bangalore,0.0,477433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35926.0,0.0,0.0,0.0,0.0,0.0
Belgaum,5112.0,0.0,0.0,0.0,0.0,0.0,3774.0,0.0,0.0,0.0,0.0,0.0,0.0,7885.0,4141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,0.0
Bellary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3717.0,0.0,6191.0,0.0,4346.0,0.0,0.0,6289.0,0.0,0.0,4658.0,0.0,0.0,4319.0,0.0,0.0,0.0,0.0,0.0,0.0
Bidar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bijapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamrajnagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,1834.0,0.0,1212.0,0.0,0.0,0.0,0.0,0.0
Chikballapura,0.0,17715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,0.0,0.0
Chikmagalur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.0,5260.0,4299.0,0.0,0.0,0.0,3442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729.0,3313.0,4323.0,0.0,0.0
Chitradurga,0.0,0.0,0.0,0.0,5139.0,0.0,0.0,0.0,0.0,2888.0,0.0,0.0,5737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4421.0,0.0,0.0,0.0
DakshinaKannada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8321.0,0.0,0.0,0.0,0.0,0.0,0.0,13233.0,0.0,6785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16619.0,0.0,0.0
Davanagere,0.0,0.0,0.0,0.0,7749.0,0.0,0.0,0.0,0.0,4355.0,5193.0,0.0,0.0,0.0,0.0,0.0,0.0,8787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5491.0,0.0,0.0,0.0,0.0
Dharwad,0.0,0.0,0.0,15026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9664.0,0.0,0.0,13985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5836.0,0.0
Gadag,2411.0,0.0,0.0,3037.0,2493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3719.0,0.0,0.0,0.0,2827.0,0.0,0.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulbarga,0.0,0.0,0.0,0.0,0.0,4920.0,3291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.0
Hassan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2493.0,0.0,6057.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.0,0.0,0.0,5570.0,7064.0,0.0,0.0,0.0,3816.0,0.0,0.0,0.0
Haveri,0.0,0.0,0.0,0.0,3767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4205.0,5620.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2669.0,0.0,0.0,1783.0,0.0
Kodagu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,0.0,0.0,0.0,0.0,2355.0,0.0,0.0,0.0,0.0,0.0,4196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolar,0.0,28475.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koppal,5548.0,0.0,0.0,0.0,5735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4731.0,0.0,0.0,0.0,0.0,0.0,8431.0,0.0,5572.0,0.0,4554.0,0.0,0.0,0.0
Mysore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11801.0,0.0,6050.0,0.0,0.0,16581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raichur,2319.0,0.0,0.0,0.0,2397.0,0.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819.0
Ramanagara,0.0,17283.0,2038.0,0.0,0.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,0.0,0.0,0.0,0.0,1063.0,0.0,0.0,0.0
Shimoga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3518.0,0.0,0.0,6987.0,0.0,0.0,0.0,0.0,7098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7026.0,2962.0,0.0
Tumkur,0.0,24631.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,990.0,1180.0,0.0,0.0,0.0,0.0,0.0,1574.0,0.0,0.0,0.0,0.0,2211.0,0.0,0.0,1853.0,0.0,0.0,0.0,0.0,0.0
Udupi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8063.0,0.0,19595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10167.0,0.0,0.0,6790.0,0.0
UttaraKannada,0.0,0.0,0.0,4344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.0,0.0,0.0,0.0,4043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2526.0,0.0,4002.0,0.0,0.0
Yadgir,0.0,0.0,0.0,0.0,0.0,0.0,3181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.0,0.0,0.0,0.0,0.0,0.0,0.0
