SR_NO.,COUNTRY_CO,STATES,STATE_ID,DIST_ID,TYPE,district_name,0-20,20-60,60+
356,IND,Maharashtra,21,IN.MH.AH,District,Ahmadnagar,1675724,2341329,510891
357,IND,Maharashtra,21,IN.MH.AK,District,Akola,668482,959283,182136
358,IND,Maharashtra,21,IN.MH.AM,District,Amravati,1023610,1532650,321144
359,IND,Maharashtra,21,IN.MH.AU,District,Aurangabad,1511471,1842414,339814
360,IND,Maharashtra,21,IN.MH.BH,District,Bhandara,411493,657299,124060
361,IND,Maharashtra,21,IN.MH.BI,District,Bid,1025493,1241723,315717
362,IND,Maharashtra,21,IN.MH.BU,District,Buldana,998145,1307538,276685
363,IND,Maharashtra,21,IN.MH.CH,District,Chandrapur,753142,1227761,216508
364,IND,Maharashtra,21,IN.MH.DH,District,Dhule,815210,1021273,195741
365,IND,Maharashtra,21,IN.MH.GA,District,Garhchiroli,413109,563210,93864
366,IND,Maharashtra,21,IN.MH.GO,District,Gondiya,471744,722899,125590
367,IND,Maharashtra,21,IN.MH.HI,District,Hingoli,489716,561700,124434
368,IND,Maharashtra,21,IN.MH.JG,District,Jalgaon,1597827,2160958,437652
369,IND,Maharashtra,21,IN.MH.JN,District,Jalna,805424,925340,215655
370,IND,Maharashtra,21,IN.MH.KO,District,Kolhapur,1286148,2122003,450783
371,IND,Maharashtra,21,IN.MH.LA,District,Latur,977123,1171961,294752
372,IND,Maharashtra,21,IN.MH.MC,District,MumbaiCity,893718,1877415,298701
373,IND,Maharashtra,21,IN.MH.MC,District,MumbaiSuburban,2951763,5604546,767618
374,IND,Maharashtra,21,IN.MH.NG,District,Nagpur,1552970,2649402,438736
375,IND,Maharashtra,21,IN.MH.ND,District,Nanded,1397426,1634624,321226
376,IND,Maharashtra,21,IN.MH.NB,District,Nandurbar,735243,779406,128656
377,IND,Maharashtra,21,IN.MH.NS,District,Nashik,2409979,3171904,514471
378,IND,Maharashtra,21,IN.MH.OS,District,Osmanabad,628950,797743,227210
380,IND,Maharashtra,20,IN.MH.PA,District,Parbhani,757760,876869,193661
381,IND,Maharashtra,20,IN.MH.PU,District,Pune,3158697,5379868,856466
382,IND,Maharashtra,20,IN.MH.RG,District,Raigarh,916925,1462878,245431
383,IND,Maharashtra,20,IN.MH.RT,District,Ratnagiri,543581,826682,243040
384,IND,Maharashtra,20,IN.MH.SN,District,Sangli,962664,1490347,353938
385,IND,Maharashtra,20,IN.MH.ST,District,Satara,1003803,1590858,394857
386,IND,Maharashtra,20,IN.MH.SI,District,Sindhudurg,257314,453367,136602
387,IND,Maharashtra,20,IN.MH.SO,District,Solapur,1625460,2204930,472239
388,IND,Maharashtra,20,IN.MH.TH,District,Thane,3880033,6396797,729498
389,IND,Maharashtra,20,IN.MH.WR,District,Wardha,422441,719251,158182
390,IND,Maharashtra,20,IN.MH.WS,District,Washim,472287,598228,125014
391,IND,Maharashtra,20,IN.MH.YA,District,Yavatmal,1049607,1440764,275963
379,IND,Maharashtra,20,IN.MH.YA,District,Palghar,1158414,1723292,317341
